Time,X,Y,Z,F_Z
5.52,0.3897,0.0303965,-1.55431,0
5.53,0.389314,0.030893,-1.55663,0
5.54,0.388923,0.0313846,-1.55896,0
5.55,0.388526,0.0318712,-1.56128,0
5.56,0.388122,0.0323528,-1.56359,0
5.57,0.387713,0.0328293,-1.56591,0
5.58,0.387297,0.0333006,-1.56822,0
5.59,0.386876,0.0337666,-1.57053,0
5.6,0.386448,0.0342274,-1.57284,0
5.61,0.386015,0.0346827,-1.57515,0
5.62,0.385577,0.0351325,-1.57745,0
5.63,0.385133,0.0355768,-1.57975,0
5.64,0.384683,0.0360154,-1.58205,0
5.65,0.384227,0.0364484,-1.58435,0
5.66,0.383767,0.0368757,-1.58664,0
5.67,0.383301,0.0372971,-1.58894,0
5.68,0.382829,0.0377126,-1.59123,0
5.69,0.382353,0.0381221,-1.59351,0
5.7,0.381871,0.0385257,-1.5958,0
5.71,0.381385,0.0389231,-1.59808,0
5.72,0.380893,0.0393144,-1.60036,0
5.73,0.380397,0.0396995,-1.60264,0
5.74,0.379895,0.0400783,-1.60492,0
5.75,0.379389,0.0404508,-1.60719,0
5.76,0.378879,0.040817,-1.60946,0
5.77,0.378363,0.0411766,-1.61173,0
5.78,0.377844,0.0415298,-1.614,0
5.79,0.37732,0.0418764,-1.61627,0
5.8,0.376791,0.0422164,-1.61853,0
5.81,0.376259,0.0425497,-1.62079,0
5.82,0.375722,0.0428763,-1.62305,0
5.83,0.375181,0.0431962,-1.6253,0
5.84,0.374636,0.0435092,-1.62756,0
5.85,0.374088,0.0438153,-1.62981,0
5.86,0.373535,0.0441146,-1.63206,0
5.87,0.372979,0.0444068,-1.6343,0
5.88,0.372419,0.0446921,-1.63655,0
5.89,0.371856,0.0449703,-1.63879,0
5.9,0.371289,0.0452413,-1.64103,0
5.91,0.370719,0.0455053,-1.64327,0
5.92,0.370145,0.0457621,-1.64551,0
5.93,0.369569,0.0460116,-1.64774,0
5.94,0.368989,0.0462539,-1.64997,0
5.95,0.368406,0.0464888,-1.6522,0
5.96,0.367821,0.0467164,-1.65443,0
