Time,Position,Force,Desired_Force,Velocity
3.040000,-0.752247,0.000000,8.000000,-0.324097
3.050000,-0.755486,0.000000,8.000000,-0.323625
3.060000,-0.758719,0.000000,8.000000,-0.323158
3.070000,-0.761948,0.000000,8.000000,-0.322695
3.080000,-0.765173,0.000000,8.000000,-0.322237
3.090000,-0.768393,0.000000,8.000000,-0.321786
3.100000,-0.771608,0.000000,8.000000,-0.321342
3.110000,-0.774819,0.000000,8.000000,-0.320906
3.120000,-0.778026,0.000000,8.000000,-0.320478
3.130000,-0.781228,0.000000,8.000000,-0.320058
3.140000,-0.784427,0.000000,8.000000,-0.319647
3.150000,-0.787621,0.000000,8.000000,-0.319244
3.160000,-0.790811,0.000000,8.000000,-0.318850
3.170000,-0.793997,0.000000,8.000000,-0.318465
3.180000,-0.797180,0.000000,8.000000,-0.318087
3.190000,-0.800359,0.000000,8.000000,-0.317718
3.200000,-0.803534,0.000000,8.000000,-0.317357
3.210000,-0.806706,0.000000,8.000000,-0.317004
3.220000,-0.809874,0.000000,8.000000,-0.316657
3.230000,-0.813039,0.000000,8.000000,-0.316318
3.240000,-0.816200,0.000000,8.000000,-0.315985
3.250000,-0.819358,0.000000,8.000000,-0.315658
3.260000,-0.822513,0.000000,8.000000,-0.315337
3.270000,-0.825664,0.000000,8.000000,-0.315020
3.280000,-0.828813,0.000000,8.000000,-0.314709
3.290000,-0.831958,0.000000,8.000000,-0.314401
3.300000,-0.835101,0.000000,8.000000,-0.314098
3.310000,-0.838240,0.000000,8.000000,-0.313797
3.320000,-0.841376,0.000000,8.000000,-0.313500
3.330000,-0.844510,0.000000,8.000000,-0.313205
3.340000,-0.847640,0.000000,8.000000,-0.312912
3.350000,-0.850768,0.000000,8.000000,-0.312621
3.360000,-0.853892,0.000000,8.000000,-0.312332
3.370000,-0.857014,0.000000,8.000000,-0.312043
3.380000,-0.860133,0.000000,8.000000,-0.311755
3.390000,-0.863249,0.000000,8.000000,-0.311468
3.400000,-0.866362,0.000000,8.000000,-0.311181
3.410000,-0.869472,0.000000,8.000000,-0.310894
3.420000,-0.872579,0.000000,8.000000,-0.310607
3.430000,-0.875684,0.000000,8.000000,-0.310319
