算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
GA,3.71,98,98.333,26.392,25.881,14.258,3.089,2.099,1.889,1.571,2.911,69,9,94
GA,4.652,97.333,98,25.492,26.119,14.252,2.819,2.346,1.736,1.454,2.869,76,11,100
GA,3.814,97,98.333,24.315,26.665,13.991,2.872,2.32,1.826,1.498,2.851,58,15,95
GA,4.609,96.667,98,24.816,25.278,12.649,2.75,2.026,1.829,1.571,2.703,71,14,79
GA,4.219,96.333,98,25.744,24.822,13.013,2.764,2.182,1.76,1.58,2.653,92,13,97
GA,6.265,94.667,97.333,27.161,27.432,15.016,3.034,2.221,1.367,1.484,2.43,72,10,100
GA,5.926,95.667,97.333,25.958,28.128,15.645,3.078,2.215,1.433,1.575,2.377,73,14,79
GA,3.438,96.333,97.667,23.977,24.684,11.61,2.782,1.972,1.793,1.538,2.366,64,8,83
GA,3.397,97.667,98.667,24.283,24.7,12.031,2.917,1.905,1.718,1.357,2.337,92,6,92
GA,4.061,97.333,98.333,24.588,23.98,11.822,2.707,1.727,1.645,1.428,2.291,74,5,84
GA,3.852,97.333,99,27.519,25.397,13.071,2.942,2.043,1.581,1.406,2.129,72,8,103
GA,3.986,97.667,98.333,25.708,26.021,13.021,2.88,1.825,1.455,1.306,1.953,202,7,84
GA,3.873,96.333,98,25.93,24.178,12.66,2.846,1.67,1.287,1.304,1.803,63,7,91
ISGA,5.922,69.333,70.667,23.23,31.538,10.075,2.937,1.389,1.176,1.152,1.632,50,7,47
MOEAD,4.114,97.333,98.333,26.136,26.523,15.309,2.926,2.435,1.723,1.404,3.009,86,13,91
MOEAD,3.969,96.667,98.667,26.145,24.844,12.486,3.078,1.806,2.998,1.972,2.769,70,9,96
MOEAD,3.822,97.667,98.333,26.204,25.414,12.048,3.011,1.855,1.624,1.558,2.62,76,7,121
MOEAD,4.568,97,98.333,25.455,25.121,14.208,2.919,2.076,1.734,1.525,2.615,65,8,84
MOEAD,3.429,98.333,99.333,25.663,25.555,11.946,3.002,2.022,1.695,1.42,2.56,97,12,110
MOEAD,3.845,98.333,99,25.477,25.924,12.744,2.798,1.948,1.62,1.189,2.514,95,11,91
MOEAD,3.549,98.333,99,26.667,25.769,14.205,3.031,1.974,1.379,1.309,2.219,77,10,100
MOEAD,4.357,97.333,99,26.859,24.951,12.108,3.054,1.631,1.374,1.378,1.841,68,6,102
MOEAD,3.631,97,98.667,26.13,24.537,12.782,2.898,1.631,1.313,1.421,1.819,72,6,87
MOEAD,4.225,96.667,98.667,24.094,23.622,9.545,2.789,1.101,1.578,1.062,1.801,73,6,67
GA,4.980,98.225,98.225,23.264,9.478,8.787,1.714,1.393,0.943,1.333,1.752,78,12,41
ISGA,9.254,93.195,94.970,20.849,9.823,5.332,1.977,0.490,4.187,2.758,3.334,3,10,25
MOEAD,5.381,97.041,97.633,20.261,9.036,5.532,1.440,0.557,0.912,0.416,0.671,36,8,23
NSGA,4.763,96.450,97.633,21.087,8.933,5.431,1.713,0.518,0.886,0.997,0.997,10,2,26
GA,5.608,97.337,97.929,22.580,9.578,7.388,1.591,1.062,2.078,0.487,1.315,87,8,41
ISGA,3.309,98.225,98.521,20.901,9.024,5.696,1.542,0.619,2.339,1.434,1.843,13,5,20
MOEAD,5.980,94.083,97.633,22.219,9.529,7.428,1.582,0.957,1.763,1.614,2.249,80,9,31
NSGA,5.442,97.041,97.929,20.369,9.216,5.637,1.480,0.545,1.863,0.903,1.211,7,7,19
GA,4.603,97.337,98.225,21.322,8.833,5.470,1.496,0.666,0.984,0.979,1.200,4,7,28
ISGA,6.678,94.083,95.858,24.048,9.368,7.094,1.773,1.006,2.497,1.889,2.542,47,12,28
MOEAD,4.878,97.041,98.225,19.230,8.275,4.951,1.353,0.380,0.927,0.342,0.504,16,2,19
NSGA,13.959,89.941,93.491,23.334,10.348,9.381,1.886,1.410,1.663,1.977,2.578,74,14,39
GA,3.670,97.633,98.521,19.481,7.971,4.927,1.549,0.360,0.929,0.856,1.198,17,2,19
ISGA,3.111,97.337,98.817,21.089,10.104,6.723,1.538,0.848,1.412,0.945,1.554,16,5,24
MOEAD,5.097,97.337,97.633,19.500,8.505,5.208,1.361,0.445,0.926,0.372,0.555,28,5,17
NSGA,10.987,91.716,94.379,22.561,8.969,9.223,1.690,1.393,2.495,2.788,3.943,68,17,41
GA,5.444,95.266,97.337,22.739,9.051,7.946,1.786,1.146,1.495,1.687,2.122,93,10,42
ISGA,4.438,97.041,98.225,20.866,9.606,5.709,1.684,0.723,2.558,1.949,2.352,52,8,48
MOEAD,4.922,96.154,97.633,21.326,9.299,6.755,1.466,0.741,0.943,0.935,1.580,23,5,13
NSGA,8.726,95.266,95.858,21.429,10.546,7.654,1.541,1.032,1.580,1.458,2.021,12,10,20
GA,5.449,96.450,97.929,21.365,9.850,6.975,1.592,0.931,2.154,0.468,1.163,66,8,31
ISGA,6.600,94.970,95.858,21.706,9.202,5.639,1.729,0.531,1.323,1.049,1.035,27,5,19
MOEAD,4.238,98.225,98.225,19.889,8.603,5.159,1.333,0.463,1.107,0.886,1.280,15,5,18
NSGA,4.977,97.633,98.521,21.030,9.081,5.943,1.514,0.640,1.308,1.468,1.813,15,6,22
GA,5.183,95.562,97.633,20.182,8.059,6.512,1.450,0.624,0.834,1.091,1.109,24,5,18
ISGA,4.075,95.562,96.746,21.466,8.880,5.779,1.675,0.552,2.053,2.032,2.080,9,5,22
MOEAD,5.528,95.858,97.633,19.495,8.561,5.050,1.385,0.399,1.729,0.358,0.648,30,3,18
NSGA,8.731,93.195,95.266,22.609,9.177,6.330,1.863,0.686,1.562,1.198,1.972,15,4,24
GA,5.266,97.633,97.929,21.160,9.154,6.266,1.673,0.743,0.751,1.184,1.192,35,6,23
ISGA,3.809,98.225,98.817,20.387,8.871,5.882,1.520,0.687,2.170,1.949,2.426,20,8,31
MOEAD,4.585,95.562,98.225,20.377,7.968,5.418,1.565,0.520,1.281,1.345,1.725,32,4,17
NSGA,14.793,89.941,91.716,21.653,8.326,8.802,1.411,1.317,2.005,2.101,2.885,70,14,37
GA,4.850,97.929,98.225,21.158,9.386,6.180,1.728,0.741,0.866,1.042,1.282,63,6,36
ISGA,4.699,94.970,98.225,20.488,9.754,5.834,1.501,0.654,1.860,0.937,1.347,28,5,28
MOEAD,5.936,95.858,96.450,20.339,8.697,5.733,1.386,0.584,1.560,0.912,1.384,16,9,14
NSGA,6.060,94.675,97.633,23.160,8.390,8.182,1.657,1.161,0.839,1.520,1.957,79,6,38
GA,6.025,95.858,98.225,23.961,11.035,7.692,2.086,1.296,1.271,1.189,2.166,95,9,68
ISGA,5.479,91.716,97.337,21.280,9.413,6.096,1.580,0.730,2.344,1.516,1.961,41,6,31
MOEAD,4.725,97.041,98.225,19.517,9.362,5.529,1.266,0.617,1.189,0.903,1.406,11,6,17
NSGA,10.390,93.787,95.266,20.708,9.195,5.864,1.833,0.557,1.553,1.394,1.594,10,7,15
GA,6.557,95.562,96.746,21.839,9.369,6.697,1.901,0.900,1.255,1.042,1.740,83,8,48
ISGA,9.488,93.787,95.266,23.314,12.953,8.331,2.641,1.087,3.131,1.832,2.869,24,12,27
MOEAD,4.541,98.225,98.225,20.737,8.357,5.705,1.537,0.562,0.643,1.077,1.047,17,5,14
NSGA,6.147,95.858,97.633,24.074,11.412,7.821,2.411,1.149,0.890,1.531,2.599,73,10,45
