# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
139,SUCCESS_CARTESIAN,100,1.010153,3,0.440136,0.79875,0.000034,0.263331,2.361947,1.002659,0.626191,1.569999,-1.212681
140,SUCCESS_CARTESIAN,100,1.093062,3,0.445283,0.835756,0.000002,0.266955,2.40747,1.034157,0.578746,1.569996,-1.256109
141,SUCCESS_CARTESIAN,100,1.217292,3,0.453642,0.872227,0.000005,0.271523,2.453363,1.062386,0.529743,1.57,-1.296208
142,SUCCESS_CARTESIAN,100,1.29957,3,0.456387,0.908124,0.000011,0.276892,2.499315,1.087673,0.479611,1.569947,-1.333215
143,SUCCESS_CARTESIAN,100,1.356822,3,0.456557,0.943322,0.000057,0.282972,2.544903,1.110042,0.428855,1.57,-1.367173
144,SUCCESS_CARTESIAN,100,1.627729,3,0.46258,0.977986,0.000082,0.289588,2.590203,1.130212,0.377539,1.569841,-1.398639
145,SUCCESS_CARTESIAN,100,1.241383,3,0.458213,1.011384,0.000018,0.296781,2.633165,1.147589,0.327632,1.569989,-1.426803
146,SUCCESS_CARTESIAN,100,1.424579,3,0.458752,1.044215,0.000003,0.304337,2.675416,1.163235,0.277771,1.57,-1.45292
147,SUCCESS_CARTESIAN,100,1.306376,3,0.451345,1.076386,0.000061,0.31222,2.716606,1.177206,0.228354,1.57,-1.477039
148,SUCCESS_CARTESIAN,100,1.272494,3,0.445433,1.10811,0.00028,0.320366,2.757259,1.189742,0.178963,1.569981,-1.499577
149,SUCCESS_CARTESIAN,100,1.314735,3,0.421985,1.137453,0.000091,0.32878,2.791318,1.200662,0.135292,1.569982,-1.518489
150,SUCCESS_CARTESIAN,100,1.428797,3,0.412147,1.165785,0.000009,0.33736,2.822861,1.210534,0.093645,1.569991,-1.535578
151,SUCCESS_CARTESIAN,100,1.409971,3,0.401211,1.192861,0,0.34607,2.851003,1.219527,0.054881,1.57,-1.550686
152,SUCCESS_CARTESIAN,100,4.015454,3,0.377941,1.218519,0.000033,0.354874,2.875145,1.227899,0.019632,1.569954,-1.563785
153,SUCCESS_CARTESIAN,100,4.075259,3,0.390677,1.244476,0.000243,0.363615,2.90038,1.236753,-0.016878,1.568879,-1.576656
154,SUCCESS_CARTESIAN,100,2.124855,3,0.28123,1.263434,0.000003,0.372655,2.904299,1.243175,-0.033435,1.57,-1.582158
155,SUCCESS_CARTESIAN,100,1.384858,3,0.325334,1.28472,0.000454,0.381571,2.91554,1.250494,-0.057053,1.569942,-1.589713
156,SUCCESS_CARTESIAN,100,1.161749,3,0.292713,1.30134,0.000301,0.390475,2.911924,1.257794,-0.066693,1.57,-1.592365
157,SUCCESS_CARTESIAN,100,0.939791,3,0.295432,1.320456,0.001299,0.399388,2.91652,1.264859,-0.084246,1.57,-1.597373
158,SUCCESS_CARTESIAN,100,0.872026,3,0.326041,1.329924,0.000204,0.408205,2.889288,1.272589,-0.07151,1.57,-1.592758
159,SUCCESS_CARTESIAN,100,1.027309,3,0.2788,1.342707,0.000411,0.417036,2.872725,1.279989,-0.068983,1.57,-1.591426
160,SUCCESS_CARTESIAN,100,1.128254,3,0.249396,1.357663,0.001694,0.425854,2.863347,1.287266,-0.073396,1.569905,-1.592168
161,SUCCESS_CARTESIAN,100,0.986622,3,0.314821,1.368644,0.001706,0.434497,2.839745,1.295922,-0.064206,1.568639,-1.588906
162,SUCCESS_CARTESIAN,100,0.914495,3,0.30711,1.384986,0.004692,0.443357,2.835336,1.302214,-0.073546,1.569308,-1.591026
163,SUCCESS_CARTESIAN,100,0.797927,3,0.254557,1.399894,0.007509,0.452123,2.825812,1.309011,-0.07805,1.569494,-1.591691
164,SUCCESS_CARTESIAN,100,0.837277,3,0.338221,1.410309,0.007514,0.460427,2.798293,1.320211,-0.065243,1.565551,-1.587509
165,SUCCESS_CARTESIAN,100,0.897676,3,0.28106,1.422048,0.011331,0.469424,2.77857,1.323701,-0.060026,1.569075,-1.585937
166,SUCCESS_CARTESIAN,100,0.921104,3,0.27646,1.434587,0.014855,0.47813,2.760477,1.329694,-0.05646,1.57,-1.584672
167,SUCCESS_CARTESIAN,100,0.785159,3,0.27667,1.449032,0.018854,0.486616,2.748471,1.337492,-0.058894,1.568963,-1.584795
168,SUCCESS_CARTESIAN,100,0.889769,3,0.319009,1.464424,0.024597,0.495251,2.741291,1.343096,-0.066138,1.57,-1.586111
169,SUCCESS_CARTESIAN,100,0.869411,3,0.274961,1.478086,0.029247,0.503644,2.726506,1.350763,-0.066086,1.569011,-1.585577
170,SUCCESS_CARTESIAN,100,0.938245,3,0.36996,1.489912,0.034293,0.512142,2.705689,1.356467,-0.060252,1.57,-1.583904
171,SUCCESS_CARTESIAN,100,0.875585,3,0.27723,1.507261,0.039547,0.52004,2.702424,1.369002,-0.071688,1.563867,-1.585468
172,SUCCESS_CARTESIAN,100,0.908023,3,0.32518,1.517527,0.046882,0.528805,2.678731,1.369455,-0.063258,1.57,-1.583699
173,SUCCESS_CARTESIAN,100,1.21587,3,0.341049,1.528207,0.051416,0.536889,2.651145,1.377877,-0.051115,1.568135,-1.580773
174,SUCCESS_CARTESIAN,100,1.461894,3,0.252951,1.543033,0.060271,0.545191,2.643652,1.38227,-0.058801,1.57,-1.582008
175,SUCCESS_CARTESIAN,100,4.48595,3,0.294869,1.555873,0.067441,0.553236,2.626152,1.389187,-0.056802,1.569396,-1.581223
176,SUCCESS_CARTESIAN,100,2.604918,3,0.39481,1.570927,0.076028,0.561152,2.617749,1.396828,-0.063897,1.567897,-1.582029
177,SUCCESS_CARTESIAN,100,1.228185,3,0.318829,1.583474,0.084768,0.569156,2.600871,1.401879,-0.062792,1.569013,-1.581494
178,SUCCESS_CARTESIAN,100,0.825588,3,0.29159,1.597597,0.094722,0.577035,2.590872,1.407419,-0.068622,1.569496,-1.5821
179,SUCCESS_CARTESIAN,100,0.708969,3,0.300541,1.609564,0.102705,0.584671,2.569194,1.415454,-0.063085,1.567542,-1.580673
180,SUCCESS_CARTESIAN,100,1.047531,3,0.400862,1.617708,0.108737,0.592256,2.529915,1.422882,-0.0403,1.566243,-1.576795
181,SUCCESS_CARTESIAN,100,0.861103,3,0.281589,1.629635,0.119279,0.59994,2.51186,1.426847,-0.038629,1.568164,-1.576394
182,SUCCESS_CARTESIAN,100,0.927602,3,0.460766,1.635953,0.123654,0.607264,2.460478,1.435494,-0.004128,1.565414,-1.571358
183,SUCCESS_CARTESIAN,100,0.816747,3,0.334405,1.646705,0.13291,0.614626,2.433599,1.441559,0.005976,1.565072,-1.570018
184,SUCCESS_CARTESIAN,100,0.848495,3,0.305276,1.658252,0.14401,0.62195,2.413,1.446101,0.009689,1.566176,-1.569578
185,SUCCESS_CARTESIAN,100,1.034939,3,0.312067,1.670514,0.156289,0.629164,2.396913,1.450537,0.008748,1.567316,-1.569737
